1 1:362.78137 2:3.1340172 3:-7.022768 4:5.4173355 5:5.2166157 6:1.9162347 7:12.956315 8:1.2961929 9:8.790613 10:-4.928368 11:1.5388814 12:-6.538455 13:5.2996497 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:359.8693 2:3.407626 3:-5.137857 4:5.4259014 5:4.069346 6:1.574615 7:12.882009 8:0.8574848 9:10.546321 10:-3.753525 11:1.572798 12:-5.2296476 13:5.551623 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:361.2683 2:-4.2479067 3:-2.7443132 4:9.292811 5:1.2159358 6:1.9303656 7:9.919581 8:2.547384 9:9.0105715 10:-4.913601 11:2.4642391 12:-5.773867 13:4.8808966 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:364.28824 2:-8.412746 3:-3.4089289 4:8.580412 5:6.1728377 6:2.3442318 7:5.202644 8:1.9828107 9:8.892506 10:-3.8078382 11:2.3231595 12:-5.545862 13:3.046282 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:353.79523 2:-6.220178 3:0.9855569 4:3.044651 5:6.5824766 6:5.362158 7:3.9127421 8:-0.56145746 9:7.100408 10:0.31387985 11:2.5701654 12:-5.713365 13:3.0856538 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:332.12662 2:10.361592 3:5.502077 4:-3.4326546 5:6.347245 6:3.1774046 7:7.551496 8:-0.9509952 9:4.208591 10:-4.016944 11:4.686709 12:-1.8657268 13:5.248226 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:345.25336 2:16.379265 3:3.4950259 4:-6.9370136 5:6.8345942 6:4.626533 7:7.7020435 8:-2.5858483 9:3.743323 10:-5.4001203 11:5.9053197 12:-1.6717908 13:6.313968 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:358.30887 2:19.651577 3:6.345224 4:-7.2160587 5:4.1353717 6:7.277487 7:5.531184 8:-8.173721 9:5.0957856 10:-6.3341794 11:4.942014 12:-3.618585 13:3.9606528 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:369.40137 2:21.727062 3:4.2019196 4:-9.082092 5:1.59441 6:7.8344893 7:3.7061653 8:-9.681896 9:9.645573 10:-7.3782935 11:4.3250484 12:-5.2764006 13:2.6075134 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
1 1:372.73666 2:20.70574 3:1.545158 4:-11.170248 5:2.6502962 6:8.719915 7:6.347547 8:-8.738377 9:10.238379 10:-8.482075 11:1.7124381 12:-7.4187927 13:2.4354837 14:99.13739 15:4.163002 16:2.9511786 17:-2.015251 18:0.34368065 19:1.4907613 20:2.4797056 21:-0.584264 22:1.9790837 23:-1.7194903 24:0.8373489 25:-1.3059888 26:0.69895214 
