1 1:248.42242 2:-7.0286565 3:5.8675437 4:0.5420019 5:1.0311922 6:-1.2462431 7:0.87149286 8:-0.75660604 9:1.7819873 10:-1.4654447 11:3.2150385 12:-2.6302195 13:3.0552146 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:245.15015 2:-7.226781 3:4.836466 4:-0.37938643 5:2.7520163 6:0.015344105 7:0.46458706 8:-1.7571813 9:2.1974006 10:-1.0987942 11:2.4761765 12:-2.106578 13:1.6212499 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:245.93852 2:-8.325226 3:4.503947 4:-0.22027978 5:2.5684967 6:1.3976114 7:1.1062907 8:-2.291243 9:2.4882395 10:-1.8764908 11:1.407508 12:-1.7758677 13:1.4736743 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:267.8312 2:0.96055526 3:4.6248255 4:-2.10934 5:5.495265 6:3.4207735 7:4.636514 8:-3.784219 9:-1.1029902 10:-3.538494 11:3.6081874 12:-1.9400078 13:1.3610121 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:250.99725 2:-5.298549 3:6.024875 4:-0.20489983 5:3.9720864 6:3.15115 7:2.9013267 8:-1.2637513 9:2.6605594 10:-2.695321 11:1.6252662 12:-1.1509221 13:2.8454776 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:249.2933 2:-6.918054 3:5.0963116 4:-0.2904652 5:3.1454675 6:1.1292185 7:1.5976248 8:-0.58725494 9:3.688573 10:0.34741458 11:3.1081703 12:-2.0038216 13:2.1274376 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:257.04483 2:-2.3954792 3:7.025806 4:0.6007869 5:4.8681006 6:1.813169 7:2.7978694 8:-1.2186284 9:4.5569654 10:-0.07407191 11:3.444164 12:-1.708056 13:2.8558216 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:283.8117 2:13.723165 3:12.197671 4:-3.8782864 5:6.8524184 6:3.5688987 7:5.4447875 8:-4.3797827 9:4.417152 10:-0.5415288 11:6.579206 12:-2.2821538 13:5.1796775 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:290.1064 2:16.75471 3:12.9112625 4:-6.054119 5:4.5538244 6:1.8491498 7:6.219109 8:-2.92021 9:3.8187294 10:-2.2971876 11:7.0810738 12:-1.367821 13:5.555113 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:296.80344 2:18.84815 3:10.860741 4:-9.362422 5:3.9508972 6:2.6845927 7:6.2663226 8:-4.213012 9:3.9524133 10:-2.912533 11:6.4942274 12:-0.55762774 13:6.76805 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:299.81732 2:20.601332 3:9.848179 4:-10.4816065 5:4.216825 6:2.2059321 7:6.3545394 8:-4.2406707 9:4.1536756 10:-3.1936326 11:6.1971626 12:-0.6578752 13:7.5098724 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:302.09042 2:21.56477 3:9.94841 4:-10.327705 5:4.371498 6:2.4488723 7:6.3318744 8:-4.6187153 9:4.0496855 10:-4.091117 11:5.7410774 12:-1.123858 13:8.352895 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:303.67133 2:19.718184 3:12.404701 4:-7.7613277 5:1.9625584 6:0.63402075 7:7.763593 8:-3.6187682 9:3.0170705 10:-5.0832906 11:7.1890993 12:-0.71755016 13:7.2583823 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:315.3861 2:22.723307 3:15.4868555 4:-6.7614064 5:0.032711137 6:0.9696169 7:6.176689 8:-6.589503 9:3.1508899 10:-6.379236 11:5.317133 12:-3.0784388 13:6.3655295 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:316.3006 2:28.481077 3:15.8286705 4:-9.972004 5:0.88839084 6:0.059783485 7:4.973479 8:-7.808557 9:3.7724407 10:-6.2659416 11:4.8351293 12:-4.4130883 13:5.8557386 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:321.6473 2:29.323378 3:13.873256 4:-11.810457 5:0.17084743 6:-1.1750152 7:2.849678 8:-7.0279446 9:5.974924 10:-7.040176 11:4.649057 12:-5.0640836 13:4.797597 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:323.61932 2:29.748213 3:13.091177 4:-13.415176 5:-0.29387888 6:0.06873193 7:3.3191814 8:-7.3124723 9:7.299382 10:-7.78529 11:3.5446098 12:-5.9633203 13:4.3200407 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:327.74176 2:28.6638 3:11.95622 4:-12.64079 5:-1.962529 6:1.2464312 7:5.5135055 8:-7.4874644 9:7.552617 10:-7.534871 11:1.8174899 12:-7.389005 13:5.1860313 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:336.51642 2:24.308287 3:10.108397 4:-12.364666 5:0.44800818 6:-0.046203334 7:7.9664288 8:-4.4262843 9:4.965054 10:-8.319688 11:1.5400951 12:-7.2398024 13:3.1534433 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
1 1:333.38263 2:27.989225 3:8.766456 4:-15.042204 5:1.2426063 6:4.8595705 7:7.970664 8:-5.3649287 9:6.351997 10:-9.863517 11:1.5966891 12:-8.64787 13:4.112048 14:101.088646 15:5.2642055 16:0.35025665 17:-1.4257036 18:1.1901864 19:2.2176065 20:2.9008055 21:-1.672277 22:2.028519 23:-2.4388297 24:1.2452798 25:-1.0612854 26:1.3078127 
