1 1:360.16028 2:15.361621 3:3.0323007 4:1.7203189 5:7.473383 6:4.65766 7:9.101253 8:-3.8911557 9:10.441387 10:-6.403863 11:1.7187227 12:-7.726476 13:3.4456863 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:354.82056 2:4.5019197 3:-3.4124513 4:9.674075 5:7.5594506 6:1.396027 7:9.620233 8:-3.1234543 9:9.626183 10:-7.4041715 11:1.5214452 12:-3.2611296 13:3.6182575 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:363.85696 2:-12.002272 3:-11.26288 4:12.745396 5:7.114411 6:-2.5958214 7:6.7095594 8:-4.851112 9:8.571179 10:-6.653405 11:0.88934165 12:-1.0503551 13:3.147295 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:365.53812 2:-13.703757 3:-11.489406 4:10.966183 5:4.912157 6:-2.331125 7:6.261496 8:-3.9079087 9:7.448095 10:-6.5822988 11:0.46375167 12:-1.6522626 13:2.703949 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:370.25394 2:-12.407242 3:-12.552413 4:8.669173 5:4.225581 6:-0.90936047 7:7.159645 8:-4.716973 9:6.885095 10:-7.895052 11:0.21784088 12:-1.2444496 13:3.2843447 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:371.32394 2:-10.059303 3:-13.986559 4:6.0191045 5:4.377055 6:-0.8166433 7:5.9602118 8:-5.0778837 9:6.004735 10:-8.007273 11:-0.27612433 12:-2.0061028 13:4.230066 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:353.5672 2:-4.0355635 3:-12.193993 4:5.668905 5:6.05655 6:1.1812236 7:7.9218535 8:-3.4494128 9:5.6376176 10:-8.666963 11:1.0645696 12:-2.453373 13:3.6913524 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:348.6137 2:7.804082 3:-1.7243466 4:4.357101 5:8.690749 6:3.5467176 7:10.68574 8:-1.83962 9:9.645278 10:-5.2297454 11:-0.2738268 12:-4.4975047 13:4.5584917 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:370.92633 2:15.221849 3:-0.8793847 4:3.2865076 5:11.30572 6:2.915345 7:12.556126 8:-2.8408415 9:11.496598 10:-4.56719 11:0.029606195 12:-7.2389193 13:4.628665 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
1 1:372.0864 2:15.569037 3:-1.9786984 4:3.293606 5:8.205049 6:2.6625123 7:12.852557 8:-1.1415008 9:11.382283 10:-5.8685384 11:1.639782 12:-7.483081 13:3.797613 14:110.10779 15:5.4773326 16:1.5239062 17:-0.8551786 18:3.0208788 19:0.46906045 20:2.5937722 21:-1.1723624 22:3.0810952 23:-0.47268593 24:0.78040016 25:-2.1707747 26:1.0744436 
