1 1:379.0122 2:19.322756 3:2.7049806 4:-3.9482372 5:4.010418 6:2.4069126 7:8.634997 8:-8.399031 9:9.328696 10:-2.7912278 11:3.131684 12:-9.8901825 13:1.1012821 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:377.94012 2:18.59738 3:0.15414697 4:-2.6457725 5:6.4835095 6:4.7961226 7:9.669062 8:-7.824227 9:9.421759 10:-4.513949 11:3.1323965 12:-8.971625 13:3.2239692 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:377.9002 2:19.149307 3:-0.043500986 4:-4.4674187 5:6.1786976 6:7.687585 7:12.011667 8:-6.425829 9:10.349619 10:-4.228413 11:1.2712837 12:-10.098465 13:5.908479 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:374.9855 2:19.243937 3:2.513809 4:-5.1748967 5:3.8642583 6:6.7548084 7:12.023983 8:-3.551302 9:14.209927 10:-2.5332735 11:0.80905795 12:-11.622881 13:5.3469777 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:363.2547 2:19.670534 3:7.162697 4:-2.9330702 5:3.4740412 6:1.511292 7:10.404712 8:-2.6218834 9:13.279147 10:-0.31483412 11:3.0643437 12:-10.145056 13:4.198862 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:346.5805 2:19.575815 3:10.998841 4:-2.1316216 5:4.7398505 6:-0.82814676 7:9.0243025 8:-3.7720246 9:9.128305 10:-0.77296096 11:4.0289345 12:-6.7728963 13:4.625572 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:347.46912 2:21.960312 3:12.406479 4:-1.1818182 5:7.4705195 6:-1.0381607 7:6.5363207 8:-6.640969 9:7.4763546 10:-2.4347348 11:3.8850586 12:-6.3112864 13:5.588432 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:364.86835 2:22.352755 3:9.666328 4:2.4104054 5:7.688883 6:0.54288113 7:6.323906 8:-12.275175 9:7.499332 10:-3.8672948 11:2.864472 12:-6.226775 13:6.5945263 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:375.5609 2:21.104977 3:7.551028 4:4.0493126 5:8.81162 6:0.20419127 7:4.662018 8:-14.474568 9:6.345475 10:-4.1898313 11:2.969775 12:-6.8976507 13:6.3044863 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:381.20206 2:21.742357 3:4.7836123 4:4.8680787 5:8.884055 6:-0.21143733 7:3.288843 8:-15.116235 9:6.6564384 10:-5.438742 11:4.183304 12:-7.254663 13:5.9402623 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
