1 1:345.4728 2:16.1805 3:10.904488 4:2.0680673 5:4.158438 6:0.10996859 7:5.864425 8:-7.009375 9:7.109673 10:-2.0179157 11:5.0149956 12:-5.3884807 13:6.356688 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:358.27 2:22.590508 3:10.075757 4:1.3277383 5:8.260096 6:0.9629117 7:5.500189 8:-11.996909 9:7.505564 10:-3.1850424 11:2.7081547 12:-5.6966457 13:6.4962535 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:374.66418 2:25.516634 3:6.2154098 4:1.2546581 5:14.105266 6:-0.32914305 7:2.1449094 8:-12.504719 9:5.8765283 10:-5.5513773 11:4.155975 12:-7.3347096 13:5.811087 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:382.4928 2:23.712372 3:4.60011 4:2.6976378 5:12.873593 6:-1.1071775 7:1.0270851 8:-13.583866 9:5.4851775 10:-6.4750376 11:4.4393725 12:-7.5726914 13:5.0622573 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:384.63538 2:23.524654 3:3.60727 4:1.0610888 5:11.061368 6:-3.5871751 7:1.3779386 8:-12.5977745 9:6.2366195 10:-5.4250298 11:4.076333 12:-7.013613 13:4.3595347 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:380.11816 2:24.52206 3:5.995012 4:-0.7979978 5:9.272813 6:-5.1856675 7:2.120666 8:-10.192688 9:7.2194676 10:-3.3742754 11:4.030478 12:-7.6164002 13:3.957554 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:382.0456 2:23.60734 3:5.742252 4:-2.8811328 5:7.737584 6:-5.316114 7:4.70413 8:-7.2197495 9:8.829564 10:-1.254224 11:2.8356442 12:-8.876947 13:2.1747115 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:375.3155 2:26.630276 3:2.0535746 4:-4.774294 5:9.175786 6:-0.7233949 7:7.370496 8:-6.5438933 9:10.784299 10:-2.685713 11:1.6513131 12:-8.993891 13:2.7213297 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:377.72363 2:23.969357 3:-2.8629975 4:-2.6234074 5:11.21437 6:2.8616908 7:9.084835 8:-5.6116757 9:11.159673 10:-5.081358 11:2.594028 12:-9.495746 13:4.1958575 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:368.52457 2:18.455761 3:0.65750134 4:-0.16748196 5:8.986217 6:3.8482192 7:9.880468 8:-4.1741605 9:10.815105 10:-5.520085 11:2.1287463 12:-7.8882685 13:3.822929 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:355.02356 2:2.7316947 3:-4.1365633 4:9.148435 5:6.179106 6:0.046137687 7:6.478205 8:-4.600158 9:9.803957 10:-7.0944233 11:1.6639879 12:-1.6187768 13:4.57714 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:368.2338 2:-9.024544 3:-9.644117 4:11.192535 5:6.730795 6:-2.2061038 7:5.953858 8:-5.193386 9:7.769276 10:-6.091637 11:2.4148672 12:-0.48992708 13:2.3632512 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:362.5005 2:-15.162552 3:-9.109402 4:13.50864 5:5.467726 6:-5.7300363 7:5.3960657 8:-4.8694506 9:6.3622766 10:-6.3525505 11:-0.14938122 12:-1.3255768 13:3.6163192 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
