1 1:246.29239 2:5.350954 3:5.7659526 4:1.7816294 5:2.7551374 6:-2.535477 7:2.7509134 8:-3.3540244 9:2.7492068 10:-3.797226 11:1.2599206 12:-4.09599 13:2.369512 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:243.67102 2:3.0396245 3:6.7098093 4:2.2297077 5:2.697798 6:-0.6573537 7:3.8949444 8:-1.4481196 9:2.4167395 10:-3.9894016 11:2.7560399 12:-2.7027965 13:3.8935363 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:244.6864 2:2.6466458 3:4.8741994 4:1.2929945 5:0.26526523 6:-2.5298202 7:2.4091823 8:-1.0461326 9:4.7409554 10:-2.1817198 11:3.7026768 12:-2.9706564 13:4.735369 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:246.57928 2:4.735333 3:6.0362787 4:2.7535627 5:3.5100906 6:-1.3901536 7:3.9320796 8:-0.44699994 9:5.4673285 10:-1.9228729 11:4.5300736 12:-2.9501345 13:4.0958476 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:250.17198 2:4.2538414 3:7.886381 4:1.7021033 5:3.6725976 6:-1.0857413 7:4.361209 8:-1.6543527 9:5.8755565 10:-3.0952559 11:3.3340464 12:-3.450965 13:3.350795 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:268.19434 2:7.9832864 3:11.303154 4:-0.31551608 5:5.9798894 6:0.276021 7:7.7855563 8:-1.150362 9:6.664017 10:-3.4593234 11:4.833425 12:-2.716483 13:5.4081287 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:297.78122 2:18.066856 3:11.117219 4:-4.1163044 5:8.938771 6:1.6259294 7:9.082696 8:-2.20927 9:10.082444 10:-3.1229439 11:4.852685 12:-4.198218 13:7.759227 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:308.27942 2:15.627106 3:10.783465 4:-3.4450436 5:9.756378 6:1.1188031 7:7.706114 8:-1.9880416 9:9.446023 10:-2.290467 11:4.052193 12:-4.0205607 13:7.522742 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:306.7703 2:24.781815 3:8.511284 4:-6.7723584 5:8.697304 6:2.8165672 7:8.626282 8:-4.775664 9:11.004888 10:-2.6615114 11:4.122052 12:-5.8669024 13:9.266858 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:309.49268 2:28.48791 3:5.63588 4:-8.947574 5:9.480025 6:3.7530649 7:7.680835 8:-5.431262 9:11.154133 10:-3.784573 11:5.155371 12:-6.5450315 13:9.4279375 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:309.27557 2:28.913609 3:6.0275464 4:-6.5249214 5:7.0970244 6:6.2355595 7:6.2945437 8:-6.4259324 9:11.957621 10:-4.8375964 11:5.892677 12:-7.0232487 13:9.94513 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
