1 1:229.8124 2:0.5801804 3:7.3417277 4:0.8121286 5:1.0168337 6:-1.7216997 7:2.0445952 8:-1.7857871 9:1.5288637 10:-1.9608793 11:3.0377223 12:-2.5760524 13:3.5468152 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:224.27933 2:-2.8519177 3:6.6234837 4:2.4841146 5:0.89132917 6:-2.1453855 7:1.0595652 8:-2.1170719 9:4.4139695 10:0.41513994 11:3.1138966 12:-2.0304973 13:3.564487 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:230.27344 2:1.0890566 3:6.628949 4:2.3865075 5:2.1079035 6:-1.2993649 7:2.3639798 8:-1.6355227 9:3.0908153 10:-0.52700686 11:3.992338 12:-2.055184 13:4.8417253 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:229.00314 2:1.000595 3:9.112962 4:2.1079915 5:-0.5689675 6:-3.4296348 7:1.2870988 8:-2.7644937 9:1.3463533 10:-1.8661405 11:3.7214766 12:-1.611481 13:4.6608257 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:230.3805 2:1.4230851 3:10.467461 4:3.7305357 5:0.3643033 6:-3.298439 7:1.844624 8:-1.0566585 9:2.5473506 10:-2.5925252 11:3.451487 12:-2.2176182 13:3.1489754 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:226.82266 2:-0.65198165 3:7.6698685 4:2.5829833 5:-0.029741224 6:-3.0788972 7:1.1517727 8:-1.4275504 9:1.4493711 10:-1.7667109 11:3.4979155 12:-2.7340484 13:2.8204532 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:227.898 2:-1.1898328 3:6.0059586 4:0.15626977 5:0.20516019 6:-3.2913594 7:-0.8100226 8:-3.134833 9:1.1709726 10:-1.4378971 11:2.64156 12:-1.2688618 13:4.4641767 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:230.37471 2:-0.5304873 3:7.535082 4:1.6157635 5:0.9996068 6:-2.5755908 7:2.259375 8:-1.059446 9:3.3258228 10:1.025318 11:5.023529 12:-1.5193119 13:3.2065802 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:263.64743 2:3.530562 3:2.3090336 4:2.4498255 5:4.3915563 6:0.5769667 7:-1.7745569 8:-9.416176 9:0.5468845 10:0.6975371 11:2.1956503 12:-4.658583 13:7.754657 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:251.62811 2:3.6332293 3:3.821747 4:3.937005 5:5.8870263 6:-0.300732 7:-0.77158916 8:-8.854174 9:1.9391857 10:0.47277048 11:1.8785752 12:-3.405313 13:7.68316 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
