1 1:232.20557 2:0.5224449 3:5.7007313 4:0.5398618 5:1.3310138 6:-2.0540636 7:2.3990555 8:-2.088384 9:2.310163 10:-1.9870747 11:2.213677 12:-1.6409091 13:3.7341475 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:228.60071 2:-1.6101583 3:4.6487713 4:0.34151495 5:1.15797 6:-2.045657 7:0.9553821 8:-2.4940844 9:2.308571 10:-1.6383069 11:2.0109448 12:-3.0943024 13:4.6535954 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:229.79825 2:-0.7396607 3:7.9969788 4:3.0728314 5:2.234412 6:0.27617475 7:1.1559548 8:-3.2687225 9:2.7230937 10:-1.7011347 11:2.0133042 12:-2.35994 13:4.186938 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:231.68224 2:-0.108383305 3:6.661361 4:3.227266 5:3.075017 6:-0.67179054 7:2.1743705 8:-2.4095268 9:2.0733626 10:-3.5336976 11:0.9334924 12:-3.192086 13:4.4408803 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:229.73953 2:-0.89180773 3:5.845696 4:1.7800006 5:1.9175203 6:-0.61080396 7:3.1958725 8:-2.516855 9:2.1671958 10:-2.1526859 11:2.5931475 12:-1.5236053 13:4.345945 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:229.55013 2:-1.2358524 3:6.4626913 4:0.8007447 5:1.0900367 6:-0.22001427 7:2.6208682 8:-2.566337 9:2.1043108 10:-1.8279364 11:2.1560414 12:-3.5632715 13:2.7867575 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:231.74507 2:1.7485497 3:9.059292 4:2.8062634 5:3.4381607 6:-0.43553194 7:3.3624072 8:-1.0127897 9:2.7962184 10:-1.3499097 11:3.8558671 12:-2.4537075 13:3.8647258 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:231.92192 2:0.32124397 3:9.343298 4:2.732281 5:0.50636077 6:-1.9138312 7:2.761699 8:-1.651475 9:2.5322466 10:-1.5973978 11:3.3562868 12:-1.6858921 13:3.633549 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:227.76855 2:-2.020261 3:5.5534773 4:2.9328744 5:2.7975242 6:0.16578323 7:1.8164612 8:-3.618925 9:2.2857804 10:-2.6776662 11:2.254252 12:-1.435275 13:4.8057904 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:229.1706 2:-1.2546331 3:5.876407 4:0.63731354 5:-0.66775584 6:-2.7514763 7:-0.13398604 8:-4.794279 9:0.10411209 10:-3.4705617 11:2.8666558 12:-2.2467818 13:4.4909935 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:235.22409 2:0.023995165 3:5.7430263 4:3.5261083 5:3.352568 6:-0.82054114 7:1.3048273 8:-1.6443832 9:4.402431 10:-1.8211166 11:2.349174 12:-2.5877864 13:4.25882 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:259.35242 2:-1.0478384 3:2.8683798 4:3.966132 5:3.2557325 6:4.5090446 7:0.35581976 8:-4.8439627 9:6.007179 10:-4.155858 11:2.2530189 12:-3.3158717 13:3.6013353 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:233.7188 2:-0.99393374 3:7.333722 4:2.9520273 5:2.0155423 6:0.18094425 7:1.4282503 8:-1.5595505 9:2.0638022 10:-2.4990377 11:3.6169975 12:-2.8194666 13:3.2497728 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:231.37486 2:-1.4825151 3:6.4498534 4:3.1109216 5:3.4496593 6:-0.12398985 7:3.3961303 8:-1.633717 9:3.0064626 10:-0.92840856 11:3.6248837 12:-2.5608256 13:3.8548338 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:226.53387 2:-1.6821108 3:5.895629 4:1.5344121 5:1.3307253 6:-0.8376422 7:2.7831464 8:-1.7177864 9:1.0533569 10:-2.3527365 11:2.3639812 12:-1.9931418 13:3.9241035 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
1 1:228.37682 2:-2.0443676 3:4.4190683 4:1.4162364 5:3.3817 6:-1.3793185 7:1.7729399 8:-0.58331734 9:3.203171 10:-2.5127215 11:0.72096086 12:-2.2957766 13:4.5034323 14:96.68258 15:7.9626245 16:2.0783107 17:-0.4558957 18:1.5790918 19:1.5692912 20:3.1472783 21:-2.5012925 22:3.0406919 23:-0.8319422 24:1.6496266 25:-2.8317757 26:2.7409017 
