1 1:245.4819 2:-6.6661296 3:7.024167 4:-0.27273342 5:1.43813 6:0.121189184 7:2.2856863 8:0.5866031 9:2.0198758 10:-1.4152218 11:1.7335136 12:-1.1209598 13:2.6871386 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:243.31491 2:-8.223683 3:7.086903 4:-0.15730728 5:1.6100501 6:0.21565802 7:0.95916647 8:-1.5394915 9:1.7502573 10:-0.40719816 11:2.219886 12:-1.3765936 13:2.9751961 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:242.9763 2:-10.692805 3:6.9553847 4:0.8330323 5:0.51155156 6:0.17253566 7:1.1533408 8:-1.0419862 9:2.2321837 10:-0.19706838 11:1.7769283 12:-1.1111909 13:3.0548906 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:246.22296 2:-7.336633 3:8.570638 4:2.1061673 5:2.3026636 6:1.1262484 7:2.398384 8:-1.2066483 9:1.9303255 10:-2.5010455 11:0.56739897 12:-1.2676921 13:3.0597594 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:258.92688 2:-8.945989 3:3.4879591 4:6.0318456 5:0.6595848 6:-2.0972695 7:4.488986 8:-5.9120197 9:1.195004 10:0.27646858 11:1.4217523 12:-1.87547 13:2.76675 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:260.5653 2:-10.225083 3:4.0593 4:8.788521 5:0.8544497 6:-1.9296935 7:5.84475 8:-5.988788 9:1.3423791 10:-0.16367143 11:2.0212674 12:-1.941358 13:2.983041 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:244.48386 2:-7.2392936 3:8.034108 4:1.2213596 5:3.060571 6:0.80327636 7:1.7930796 8:-1.4266067 9:2.0849833 10:-1.0241838 11:2.605251 12:-1.9130356 13:2.1924706 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:245.982 2:-7.8776655 3:7.9529586 4:2.874055 5:3.5686443 6:-0.06912026 7:1.025284 8:-1.5391386 9:1.221967 10:-2.415025 11:1.1922995 12:-2.2882326 13:3.1552994 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:245.02676 2:-7.687718 3:7.7727804 4:2.3787599 5:2.2187617 6:0.28317684 7:2.179157 8:-1.1356785 9:1.6653386 10:-1.161554 11:2.4924042 12:-1.5650172 13:3.5641413 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:242.56044 2:-10.2859 3:5.2672677 4:-1.6666098 5:-1.0874715 6:-0.03750987 7:1.8404548 8:-1.335577 9:1.4401749 10:-0.5867783 11:3.235747 12:-0.6558158 13:2.323144 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
