1 1:245.5128 2:-1.9736574 3:7.9603148 4:0.57140934 5:1.6511139 6:-1.578934 7:-0.9941271 8:-2.572519 9:0.580825 10:-3.9667718 11:0.44994682 12:-2.8218513 13:2.9907832 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:246.97925 2:-0.82635635 3:8.245946 4:-0.56329364 5:2.6471589 6:-1.8698151 7:0.13194126 8:-0.51667225 9:3.010826 10:-1.0485721 11:1.9662368 12:-1.8217216 13:3.4492252 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:242.6882 2:-1.8736253 3:8.220796 4:-0.583573 5:1.6869932 6:-1.426753 7:0.4839692 8:-1.2378539 9:3.2922091 10:-1.8846315 11:2.0484002 12:-0.72408897 13:2.7494283 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:244.00508 2:-2.013609 3:8.216368 4:-0.023354502 5:0.7294779 6:-1.6724457 7:-0.09187331 8:-1.8451062 9:2.0344474 10:-2.6088064 11:1.1448952 12:-3.447535 13:2.0431159 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:240.23026 2:-5.709868 3:6.330986 4:1.691163 5:1.9025892 6:-0.2762098 7:1.949547 8:0.11467768 9:3.6814492 10:-0.6693166 11:1.2789757 12:-3.430021 13:2.272865 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:240.41284 2:-3.7955236 3:7.1015377 4:-0.9353907 5:-0.87844175 6:-2.2093978 7:-0.91182315 8:-3.0971408 9:1.723367 10:-0.22558449 11:5.06545 12:0.4101211 13:4.654941 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:241.62712 2:-2.7995205 3:8.202455 4:0.84915066 5:1.6198939 6:-2.2964244 7:-0.019082235 8:-1.0557697 9:1.5180769 10:-1.7122744 11:4.1619205 12:-1.2948246 13:4.106898 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:242.2957 2:-1.3372079 3:9.788909 4:0.28385177 5:1.671439 6:-2.3411183 7:-0.76306844 8:-3.0228398 9:2.930578 10:-2.0506408 11:0.40012217 12:-2.379606 13:2.834418 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:240.89665 2:-3.4815001 3:6.9984536 4:-2.1937642 5:0.37994742 6:-0.6323166 7:-0.6711769 8:-2.7081416 9:1.7960393 10:-3.779021 11:0.16070767 12:-1.5883473 13:2.6662252 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:241.03322 2:-3.0918818 3:9.15085 4:1.4917269 5:1.7510304 6:-2.4691663 7:-1.7143354 8:-2.8343701 9:2.9521415 10:-0.13701972 11:3.4262624 12:-2.5869672 13:2.0112264 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:240.83034 2:-4.5584803 3:7.8742375 4:1.8242061 5:2.5346978 6:-1.1701924 7:0.41884416 8:-2.5577712 9:3.0096157 10:0.9850762 11:4.609488 12:-0.7272576 13:3.6384332 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:241.75313 2:-2.0183897 3:10.419078 4:0.71295285 5:1.1864318 6:0.06865383 7:0.7863133 8:0.043351684 9:5.2426367 10:0.6522723 11:4.1270266 12:-1.8258185 13:2.5868566 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:241.69225 2:-0.3571164 3:9.973898 4:-0.6414737 5:0.020555982 6:-2.3105521 7:-0.13036251 8:0.7586679 9:6.634742 10:0.67358744 11:4.0714827 12:-2.5493731 13:2.9464355 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:241.43678 2:-2.1912467 3:9.151379 4:-0.49134603 5:1.8617672 6:-0.64541537 7:3.5625207 8:0.6093032 9:3.9274664 10:-2.0912445 11:2.468008 12:0.32972988 13:4.27105 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:241.33794 2:-0.6659818 3:10.142322 4:-0.5761027 5:0.18725158 6:-1.6579434 7:0.4879312 8:-2.640341 9:0.95423716 10:-2.029755 11:2.077524 12:-1.8056525 13:2.3861809 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:242.59009 2:-3.3459504 3:7.060657 4:-0.73609334 5:-0.8837031 6:-3.111343 7:0.38980108 8:-3.0915961 9:1.0363604 10:-2.936502 11:1.0758617 12:-1.3784972 13:2.1133292 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
1 1:242.60818 2:-2.2740514 3:8.344949 4:0.24789593 5:1.3591874 6:-0.7865054 7:1.605607 8:-1.2228394 9:3.3809218 10:-1.0270106 11:2.5563426 12:-2.6441338 13:1.4239887 14:89.95765 15:4.8915844 16:3.4198887 17:-0.661395 18:1.5064293 19:0.59454465 20:2.734488 21:-0.8028527 22:2.4394758 23:-0.85425586 24:0.8934558 25:-0.8047664 26:2.1977234 
