1 1:246.72452 2:-10.577665 3:2.8594923 4:1.4404095 5:1.4388784 6:-1.137921 7:1.4722674 8:-3.0673738 9:1.6899948 10:-1.1859301 11:1.125216 12:-1.6164018 13:2.529924 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:266.92886 2:-6.4816747 3:1.0145239 4:0.08097106 5:0.5649348 6:1.3633904 7:5.309503 8:-4.2883554 9:1.1316814 10:0.029056102 11:2.9160814 12:-4.3531947 13:0.65880895 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:260.21008 2:-6.785421 3:-2.2760642 4:-7.962456 5:-0.24965039 6:1.3597549 7:2.4843795 8:-4.144418 9:0.58048457 10:-0.8469645 11:3.1152759 12:-5.893558 13:-1.0820329 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:252.55064 2:-8.758194 3:5.2709017 4:1.4735398 5:1.0336924 6:-1.0967656 7:1.4706274 8:-0.9956906 9:2.8653896 10:-1.2000724 11:1.8912215 12:-1.9488105 13:3.31062 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:252.8247 2:-5.9595137 3:4.878054 4:-1.8239809 5:1.0598398 6:-1.0810808 7:0.22589496 8:-2.3177357 9:2.291064 10:-0.5841324 11:2.8454993 12:-1.0841707 13:2.6258674 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:257.35355 2:-3.836142 3:7.9645033 4:0.7765422 5:2.0531535 6:0.72314763 7:3.771059 8:-1.3170245 9:2.8142715 10:-0.90891427 11:2.6134439 12:-1.66206 13:3.130399 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:262.576 2:-1.9045459 3:9.183431 4:0.99900025 5:1.722823 6:-0.63890034 7:4.031897 8:-0.41361842 9:3.8451765 10:-0.9088977 11:3.451188 12:-2.7309928 13:4.4706516 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:302.02167 2:18.043945 3:9.108282 4:-7.084404 5:5.9486194 6:2.0786653 7:6.190199 8:-2.8627489 9:10.790726 10:0.8841178 11:5.0323434 12:-4.902282 13:6.062337 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:311.51892 2:21.488298 3:8.687688 4:-7.67782 5:7.2445974 6:0.9727939 7:5.9639783 8:-2.964596 9:11.028263 10:0.6799251 11:5.6064982 12:-6.067734 13:6.600349 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:318.78992 2:23.271753 3:5.8452325 4:-8.261319 5:7.042718 6:1.1581405 7:4.9882407 8:-4.419708 9:12.303488 10:0.134293 11:5.4128118 12:-5.6487756 13:6.4053216 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
