1 1:251.78543 2:-5.9448366 3:6.242475 4:-1.0906658 5:-0.6764117 6:0.44464636 7:3.8254998 8:-0.26730543 9:3.253058 10:-1.8920314 11:0.4265598 12:-3.688351 13:2.447061 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:255.14168 2:-3.0178094 3:7.0884705 4:-1.1012411 5:0.7296745 6:-0.37255841 7:2.572903 8:-0.25177574 9:4.164488 10:-1.0357661 11:0.6593032 12:-2.4103882 13:2.7303324 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:251.86853 2:-5.753459 3:5.3485374 4:-1.628054 5:0.5418563 6:-0.12546022 7:3.9235806 8:1.6450739 9:6.1956277 10:-1.080699 11:2.1623082 12:-0.73604524 13:2.8924217 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:263.36453 2:-0.8202405 3:7.5880423 4:-0.4295777 5:1.7649194 6:-1.2734613 7:3.0788343 8:0.8861273 9:5.6765027 10:-0.7917931 11:2.5404139 12:-2.6269464 13:3.146225 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:301.13376 2:18.075037 3:7.2278204 4:-7.595786 5:7.8034387 6:1.3076127 7:4.6291223 8:-3.3309753 9:10.14849 10:-0.010425699 11:3.593222 12:-4.0483084 13:7.7935157 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:303.64447 2:18.315302 3:8.896242 4:-5.050756 5:9.164324 6:2.120129 7:5.894461 8:-3.3894286 9:10.458548 10:-0.2713035 11:3.5340683 12:-5.225115 13:8.480014 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:304.31216 2:22.324232 3:13.763863 4:-4.7565074 5:5.241026 6:-1.7342007 7:5.317658 8:-3.3347635 9:9.46014 10:-0.88876826 11:4.5179176 12:-4.726002 13:7.1381445 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:308.54114 2:22.278208 3:11.116722 4:-4.270635 5:8.080985 6:-2.1095624 7:2.6036184 8:-3.2748919 9:12.358465 10:-0.9354187 11:2.6469102 12:-4.6513743 13:7.8171215 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:326.9358 2:20.65368 3:13.04191 4:-1.7855806 5:5.632505 6:-2.8429716 7:4.8332567 8:-4.601823 9:7.632698 10:-4.2606525 11:2.480843 12:-4.870518 13:4.936171 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:332.57065 2:28.068842 3:14.3896885 4:-4.3556957 5:7.317768 6:-3.7444327 7:0.8870286 8:-8.189701 9:8.407165 10:-3.4738407 11:1.8243493 12:-6.6495843 13:7.386146 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
