1 1:252.23712 2:-7.729255 3:3.8552923 4:-0.6248434 5:2.807944 6:1.1699677 7:0.44617978 8:-0.58031434 9:2.6402488 10:-2.4520588 11:1.2432864 12:-1.7838432 13:4.2295823 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:251.72798 2:-9.240294 3:3.5099082 4:-1.6579982 5:0.31636402 6:1.6248527 7:2.774182 8:-0.074094005 9:3.0759656 10:-2.1581283 11:1.6617119 12:-1.8813467 13:3.526371 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:252.39375 2:-8.82911 3:3.5300555 4:-0.82504636 5:1.0071284 6:1.8890773 7:2.7552428 8:-0.679408 9:5.184691 10:0.015193097 11:1.3890345 12:-2.8466868 13:2.285429 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:260.8683 2:-7.522281 3:4.1672916 4:-1.1740546 5:3.2666738 6:0.9462864 7:2.4647198 8:0.46013215 9:6.0783787 10:1.0600034 11:1.4641445 12:-3.5174854 13:1.974131 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:251.94905 2:-8.827662 3:8.180794 4:2.7839334 5:1.819306 6:0.81444925 7:2.3916266 8:-0.1378034 9:3.6307395 10:-0.9095527 11:2.7232685 12:-1.4436727 13:2.4179385 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:254.29663 2:-8.945171 3:5.8141413 4:2.9478843 5:0.8901404 6:0.37579972 7:2.8832572 8:0.4483015 9:4.664312 10:-0.79627186 11:2.8323545 12:-1.5993438 13:3.3632016 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:256.12128 2:-7.0080724 3:6.0208583 4:2.6331527 5:2.5502725 6:0.60207254 7:1.1309355 8:-0.5609069 9:3.976392 10:-1.3500671 11:2.4574666 12:-3.202734 13:2.542339 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:264.39786 2:-8.175387 3:4.6782117 4:3.1025925 5:3.330561 6:1.6562855 7:2.8800426 8:-0.19151446 9:3.684774 10:-2.9693491 11:0.44932717 12:-2.0612018 13:6.4395137 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:266.52783 2:-11.508283 3:7.2143335 4:6.3171396 5:3.824932 6:2.1284783 7:3.777564 8:-0.6803335 9:4.4679494 10:-0.3784359 11:2.4197958 12:-1.9676623 13:3.3766284 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:275.98987 2:-16.16915 3:4.586407 4:5.368852 5:3.1243606 6:0.8509805 7:3.1248107 8:-3.1743634 9:3.7362618 10:0.72196466 11:1.8437256 12:-0.7725862 13:3.0938907 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:264.44925 2:-10.969269 3:7.389581 4:4.895771 5:0.7357166 6:-1.2834971 7:2.434833 8:-1.9420061 9:1.0520031 10:-1.7028502 11:1.6074792 12:-1.5625105 13:3.1704724 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:271.90018 2:-13.978751 3:9.884558 4:4.10922 5:0.067011975 6:0.2095156 7:1.6134938 8:0.72477156 9:1.492569 10:-0.2874037 11:1.7077367 12:-2.4572387 13:3.7305756 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:269.04965 2:-13.214804 3:7.1253285 4:4.6735783 5:0.29913834 6:-0.57882416 7:2.1147354 8:-0.17622612 9:3.092144 10:-0.24440666 11:1.6754513 12:-2.1209385 13:3.812941 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:273.80856 2:-11.414624 3:6.6423726 4:6.8748016 5:3.9148357 6:1.7436782 7:3.7321436 8:0.28668478 9:3.1761334 10:-1.8222033 11:2.6310961 12:-3.1456368 13:4.0019484 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
