1 1:220.14835 2:-0.5938142 3:5.923332 4:2.576648 5:2.122233 6:0.94835055 7:3.6432655 8:-1.6867762 9:3.3307838 10:-2.4706511 11:3.0770035 12:-2.893483 13:3.5126646 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:221.35945 2:1.2168671 3:7.9438376 4:2.4658813 5:1.4464097 6:0.7001251 7:2.5098407 8:-2.4632676 9:2.8733745 10:-0.19278759 11:4.9940286 12:-3.2329745 13:4.144093 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:220.97586 2:-0.3980963 3:7.0606794 4:3.302375 5:-0.102761716 6:-2.4203618 7:2.1170585 8:-2.0287857 9:3.9302232 10:-0.94081074 11:4.670909 12:-1.63874 13:3.6702085 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:217.07991 2:-3.3365302 3:4.7123885 4:3.4836984 5:1.0823008 6:-0.768081 7:3.2757955 8:-0.8710078 9:3.1304922 10:-2.2581174 11:4.814488 12:-0.136658 13:5.622319 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:218.57617 2:-2.6902156 3:4.928674 4:2.2163267 5:-1.0178474 6:-1.4027677 7:2.7208948 8:-0.29903886 9:5.1605854 10:-0.77423185 11:3.763348 12:-2.1768584 13:2.8186054 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:218.21938 2:-3.0678153 3:5.6936965 4:2.2195842 5:0.039617408 6:-0.110880256 7:1.9124306 8:-1.6193091 9:3.6363163 10:-1.2375683 11:4.7676406 12:-1.6655368 13:3.1111073 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:216.79822 2:-2.8066456 3:5.115593 4:0.5509231 5:-0.45870385 6:-1.0305878 7:1.8163975 8:-2.4668891 9:2.1513987 10:-1.0276741 11:3.4999304 12:-2.382195 13:4.1516156 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:219.61995 2:-0.096254595 3:8.794018 4:2.3229408 5:0.07760532 6:-1.7080475 7:1.0784116 8:-1.8166482 9:4.353624 10:0.46616048 11:5.2094946 12:-2.1330805 13:2.8379457 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:219.11923 2:-1.0533209 3:6.8810964 4:4.42637 5:1.231944 6:-1.9976575 7:1.28935 8:-2.0562985 9:3.0972679 10:-1.6450491 11:4.4216976 12:-0.7041888 13:3.349291 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
1 1:217.76659 2:-1.4220926 3:5.6245766 4:3.366312 5:0.8222622 6:-2.170532 7:2.4031026 8:-1.5734634 9:3.724424 10:-0.47059855 11:5.962796 12:-0.8259153 13:3.5655134 14:82.54724 15:2.1211834 16:2.3267133 17:1.3444009 18:0.68026197 19:0.08300213 20:1.806499 21:-1.5633224 22:1.1986628 23:-0.5820451 24:0.65258795 25:-1.3682692 26:1.7513467 
