1 1:243.6551 2:-8.483497 3:9.330858 4:2.5016422 5:3.3563492 6:-0.48542562 7:-0.47742632 8:-2.164478 9:1.9154677 10:0.343657 11:3.24364 12:-2.4131198 13:0.5231097 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:247.81676 2:-6.8060703 3:8.679284 4:2.81977 5:2.3742805 6:-1.428136 7:1.5858802 8:0.64796656 9:3.558478 10:-0.188608 11:2.2736065 12:-2.4603956 13:1.6379158 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:246.31079 2:-7.6818414 3:7.643238 4:1.0503383 5:1.9220285 6:0.45158878 7:2.1609187 8:0.5115984 9:3.8819625 10:-0.5527581 11:2.3795776 12:-0.8587006 13:2.8497944 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:248.64713 2:-6.893696 3:7.1441345 4:1.0640672 5:3.2747495 6:1.1831414 7:2.6760547 8:-0.21195853 9:2.8364596 10:-0.74469525 11:2.1729984 12:-1.1051549 13:3.7566075 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:246.10962 2:-9.006249 3:6.5762033 4:1.716609 5:3.8611226 6:1.0436292 7:1.678881 8:-0.77624565 9:1.8905556 10:-1.5954117 11:0.73667276 12:-2.760505 13:3.186577 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:249.26448 2:-7.0760083 3:4.3612876 4:-2.2170532 5:1.3076239 6:0.045356162 7:0.8614456 8:-0.5239974 9:2.6362648 10:-1.4145283 11:1.1326045 12:-2.792502 13:3.3419137 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:263.76138 2:-11.344452 3:-0.105932795 4:4.22829 5:1.9909681 6:0.13884237 7:0.5894467 8:-2.819019 9:3.662085 10:-1.793423 11:3.7532928 12:-3.6093318 13:1.306698 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:268.4839 2:-13.484688 3:-0.83862305 4:5.958825 5:3.1361609 6:0.94875604 7:-0.1508769 8:-3.0866535 9:3.5807762 10:-0.9203338 11:5.281735 12:-3.5383046 13:1.7204314 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:250.02222 2:-7.8135786 3:4.5234027 4:1.5107088 5:5.755963 6:1.6705486 7:0.12893018 8:-1.287328 9:3.0666444 10:-0.5064138 11:2.1968124 12:-2.8992915 13:3.065507 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:252.52219 2:-8.379663 3:3.0957134 4:-1.5604103 5:1.2424884 6:-1.1825022 7:-0.2606111 8:-1.4574574 9:2.298746 10:-0.9807506 11:2.021618 12:-2.142908 13:3.9215121 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:252.88344 2:-5.8189974 3:5.4528856 4:1.068885 5:3.7935178 6:-0.40399003 7:-0.6911811 8:-1.6630281 9:4.034816 10:-0.65708745 11:0.9086566 12:-1.7887509 13:4.0520215 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:254.71182 2:-5.0126495 3:5.202573 4:-1.1055329 5:2.1864111 6:1.3696789 7:2.8637006 8:-1.5352857 9:1.8599482 10:-1.4726624 11:1.4203321 12:-1.9446769 13:5.1749516 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:255.58276 2:-5.139693 3:3.830393 4:-0.15960926 5:3.977868 6:1.5684514 7:-0.1919519 8:-1.6957406 9:3.4105453 10:-2.001951 11:1.1091063 12:-2.4632843 13:3.5805132 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:259.93054 2:-5.697298 3:0.6172419 4:-2.7795122 5:6.4189205 6:2.208231 7:-1.0013103 8:-2.8770375 9:3.6573105 10:0.045888703 11:4.371905 12:-1.6717412 13:2.1004596 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:260.21252 2:-5.022481 3:2.606939 4:-3.1940148 5:3.1044786 6:2.8672915 7:0.23662695 8:-2.2171211 9:4.462571 10:-0.04329286 11:3.759912 12:-2.3720527 13:3.4456701 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:266.38266 2:-3.8203685 3:-1.0120162 4:-4.4738135 5:3.1217608 6:3.7574582 7:2.4697788 8:-4.57527 9:3.333081 10:0.74215865 11:4.4866943 12:-1.6237694 13:4.851884 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:267.1612 2:-3.697471 3:2.3103936 4:-1.3960327 5:6.9679027 6:6.4484787 7:2.051969 8:-5.0584736 9:3.9802675 10:0.29900774 11:5.6855464 12:-0.5952117 13:5.208724 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
