1 1:246.57571 2:-6.563521 3:8.8199415 4:1.142624 5:1.3165673 6:-0.7266689 7:0.2193473 8:-1.6826688 9:0.6890558 10:-2.1698813 11:2.1772673 12:-1.8495327 13:1.1047076 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:243.07379 2:-9.614676 3:6.0406322 4:-0.4234123 5:-0.8350049 6:-3.0161638 7:-0.81064135 8:-1.2511752 9:1.4052842 10:-1.5775148 11:2.2503562 12:-1.0335629 13:2.0931315 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:247.25182 2:-7.099999 3:6.38764 4:-1.3902308 5:-0.35213646 6:-2.5645545 7:-0.34000975 8:-1.1475039 9:0.83954996 10:-1.4687594 11:0.6600261 12:-3.2206237 13:0.9329084 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:248.94858 2:-5.3773556 3:8.420779 4:-0.61602527 5:-0.15934949 6:-1.4867085 7:-0.45201847 8:-1.4674599 9:2.3753612 10:-0.71166646 11:1.234041 12:-3.3834367 13:1.1895776 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:248.83641 2:-5.954116 3:7.7165055 4:0.14070517 5:2.105731 6:-0.41911703 7:0.9764932 8:-0.83035576 9:3.5902855 10:-0.2522288 11:2.0800815 12:-2.7022913 13:2.5308127 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:249.15503 2:-5.94779 3:7.7049894 4:1.1649752 5:3.1520798 6:0.31412944 7:2.0250435 8:0.22756225 9:2.9604573 10:-0.50109303 11:1.8933899 12:-3.4370198 13:1.8557591 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:251.12152 2:-4.906168 3:8.40775 4:0.17164513 5:0.35703284 6:-1.4518126 7:0.8762016 8:-0.94811845 9:3.3021474 10:-0.90966177 11:1.9503518 12:-2.3541954 13:1.4638883 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:247.49942 2:-5.5548615 3:7.3995433 4:0.8577404 5:1.5078033 6:0.37496597 7:1.7054094 8:-2.0164046 9:1.1266346 10:-3.131474 11:0.97465867 12:-2.6826437 13:2.3206856 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:248.26685 2:-6.21504 3:8.278853 4:0.14746667 5:0.55171824 6:0.64551574 7:0.80007684 8:-1.8160815 9:1.8227053 10:-1.4923446 11:1.9913458 12:-2.8848472 13:2.3030417 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:249.03233 2:-5.2063813 3:8.108696 4:1.1953686 5:1.9568834 6:-0.105976194 7:0.4773837 8:-1.491103 9:1.5257446 10:-2.5592728 11:1.8103788 12:-3.2924492 13:1.3006244 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
